       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  8.029650e-01        7.053364e-02        4.235830e-01        4.796877e-01        2.589038e-02        3.052386e-04        5.461850e+00  
  8.104600e-01        6.904393e-02        4.208352e-01        4.834214e-01        2.638515e-02        3.142519e-04        5.468090e+00  
  8.179550e-01        6.759145e-02        4.180880e-01        4.871142e-01        2.688295e-02        3.234245e-04        5.474259e+00  
  8.254500e-01        6.617521e-02        4.153422e-01        4.907661e-01        2.738372e-02        3.327571e-04        5.480356e+00  
  8.329450e-01        6.479424e-02        4.125988e-01        4.943773e-01        2.788742e-02        3.422503e-04        5.486384e+00  
  8.404400e-01        6.344761e-02        4.098585e-01        4.979479e-01        2.839399e-02        3.519045e-04        5.492344e+00  
  8.479350e-01        6.213439e-02        4.071223e-01        5.014782e-01        2.890336e-02        3.617203e-04        5.498236e+00  
  8.554300e-01        6.085371e-02        4.043908e-01        5.049682e-01        2.941550e-02        3.716983e-04        5.504060e+00  
  8.629250e-01        5.960469e-02        4.016649e-01        5.084182e-01        2.993034e-02        3.818387e-04        5.509820e+00  
  8.704200e-01        5.838650e-02        3.989452e-01        5.118283e-01        3.044784e-02        3.921422e-04        5.515514e+00  
  8.779150e-01        5.719831e-02        3.962325e-01        5.151987e-01        3.096793e-02        4.026090e-04        5.521144e+00  
  8.854100e-01        5.603934e-02        3.935273e-01        5.185296e-01        3.149056e-02        4.132397e-04        5.526711e+00  
  8.929050e-01        5.490880e-02        3.908302e-01        5.218212e-01        3.201569e-02        4.240345e-04        5.532216e+00  
  9.004000e-01        5.380596e-02        3.881420e-01        5.250738e-01        3.254325e-02        4.349939e-04        5.537659e+00  
  9.078950e-01        5.273007e-02        3.854631e-01        5.282874e-01        3.307321e-02        4.461182e-04        5.543042e+00  
  9.153900e-01        5.168042e-02        3.827942e-01        5.314625e-01        3.360550e-02        4.574077e-04        5.548365e+00  
  9.228850e-01        5.065633e-02        3.801356e-01        5.345991e-01        3.414008e-02        4.688627e-04        5.553629e+00  
  9.303800e-01        4.965712e-02        3.774879e-01        5.376976e-01        3.467689e-02        4.804834e-04        5.558836e+00  
  9.378750e-01        4.868214e-02        3.748516e-01        5.407581e-01        3.521589e-02        4.922701e-04        5.563984e+00  
  9.453700e-01        4.773075e-02        3.722271e-01        5.437809e-01        3.575702e-02        5.042231e-04        5.569077e+00  
  9.528650e-01        4.680232e-02        3.696148e-01        5.467662e-01        3.630024e-02        5.163426e-04        5.574113e+00  
  9.603600e-01        4.589627e-02        3.670152e-01        5.497144e-01        3.684550e-02        5.286286e-04        5.579095e+00  
  9.678550e-01        4.501200e-02        3.644286e-01        5.526256e-01        3.739275e-02        5.410815e-04        5.584022e+00  
  9.753500e-01        4.414894e-02        3.618553e-01        5.555001e-01        3.794193e-02        5.537014e-04        5.588896e+00  
  9.828450e-01        4.330655e-02        3.592958e-01        5.583382e-01        3.849302e-02        5.664884e-04        5.593717e+00  
  9.903400e-01        4.248427e-02        3.567503e-01        5.611401e-01        3.904594e-02        5.794426e-04        5.598486e+00  
  9.978350e-01        4.168159e-02        3.542191e-01        5.639061e-01        3.960067e-02        5.925641e-04        5.603203e+00  
  1.005330e+00        4.089799e-02        3.517026e-01        5.666364e-01        4.015715e-02        6.058530e-04        5.607870e+00  
  1.012825e+00        4.013299e-02        3.492009e-01        5.693314e-01        4.071534e-02        6.193093e-04        5.612487e+00  
  1.020320e+00        3.938609e-02        3.467144e-01        5.719913e-01        4.127520e-02        6.329331e-04        5.617054e+00  
  1.027815e+00        3.865683e-02        3.442433e-01        5.746164e-01        4.183666e-02        6.467245e-04        5.621573e+00  
  1.035310e+00        3.794475e-02        3.417878e-01        5.772070e-01        4.239971e-02        6.606834e-04        5.626044e+00  
  1.042805e+00        3.724941e-02        3.393482e-01        5.797633e-01        4.296428e-02        6.748098e-04        5.630467e+00  
  1.050300e+00        3.657037e-02        3.369245e-01        5.822857e-01        4.353034e-02        6.891036e-04        5.634843e+00  
  1.057795e+00        3.590721e-02        3.345170e-01        5.847743e-01        4.409784e-02        7.035650e-04        5.639174e+00  
  1.065290e+00        3.525953e-02        3.321259e-01        5.872296e-01        4.466674e-02        7.181937e-04        5.643458e+00  
  1.072785e+00        3.462693e-02        3.297514e-01        5.896517e-01        4.523699e-02        7.329897e-04        5.647698e+00  
  1.080280e+00        3.400902e-02        3.273934e-01        5.920410e-01        4.580857e-02        7.479529e-04        5.651893e+00  
  1.087775e+00        3.340541e-02        3.250523e-01        5.943978e-01        4.638142e-02        7.630832e-04        5.656044e+00  
  1.095270e+00        3.281576e-02        3.227281e-01        5.967223e-01        4.695550e-02        7.783805e-04        5.660153e+00  
  1.102765e+00        3.223969e-02        3.204209e-01        5.990148e-01        4.753077e-02        7.938447e-04        5.664218e+00  
  1.110260e+00        3.167687e-02        3.181309e-01        6.012756e-01        4.810720e-02        8.094755e-04        5.668242e+00  
  1.117755e+00        3.112695e-02        3.158580e-01        6.035050e-01        4.868475e-02        8.252729e-04        5.672223e+00  
  1.125250e+00        3.058960e-02        3.136025e-01        6.057033e-01        4.926336e-02        8.412366e-04        5.676164e+00  
  1.132745e+00        3.006451e-02        3.113643e-01        6.078708e-01        4.984302e-02        8.573664e-04        5.680065e+00  
  1.140240e+00        2.955137e-02        3.091435e-01        6.100078e-01        5.042367e-02        8.736622e-04        5.683925e+00  
  1.147735e+00        2.904986e-02        3.069402e-01        6.121145e-01        5.100528e-02        8.901236e-04        5.687746e+00  
  1.155230e+00        2.855971e-02        3.047545e-01        6.141913e-01        5.158782e-02        9.067505e-04        5.691528e+00  
  1.162725e+00        2.808061e-02        3.025863e-01        6.162384e-01        5.217124e-02        9.235426e-04        5.695271e+00  
  1.170220e+00        2.761230e-02        3.004356e-01        6.182561e-01        5.275551e-02        9.404997e-04        5.698976e+00  
  1.177715e+00        2.715449e-02        2.983026e-01        6.202447e-01        5.334060e-02        9.576214e-04        5.702644e+00  
  1.185210e+00        2.670693e-02        2.961872e-01        6.222045e-01        5.392646e-02        9.749075e-04        5.706275e+00  
  1.192705e+00        2.626936e-02        2.940895e-01        6.241357e-01        5.451307e-02        9.923576e-04        5.709870e+00  
  1.200200e+00        2.584153e-02        2.920094e-01        6.260388e-01        5.510038e-02        1.009972e-03        5.713428e+00  
  1.207695e+00        2.542319e-02        2.899469e-01        6.279138e-01        5.568837e-02        1.027749e-03        5.716951e+00  
  1.215190e+00        2.501411e-02        2.879020e-01        6.297612e-01        5.627700e-02        1.045689e-03        5.720438e+00  
  1.222685e+00        2.461405e-02        2.858747e-01        6.315812e-01        5.686624e-02        1.063792e-03        5.723891e+00  
  1.230180e+00        2.422279e-02        2.838650e-01        6.333741e-01        5.745605e-02        1.082058e-03        5.727310e+00  
  1.237675e+00        2.384012e-02        2.818729e-01        6.351402e-01        5.804640e-02        1.100485e-03        5.730694e+00  
  1.245170e+00        2.346582e-02        2.798982e-01        6.368797e-01        5.863726e-02        1.119074e-03        5.734046e+00  
  1.252665e+00        2.309968e-02        2.779411e-01        6.385929e-01        5.922860e-02        1.137824e-03        5.737364e+00  
  1.260160e+00        2.274150e-02        2.760013e-01        6.402801e-01        5.982039e-02        1.156735e-03        5.740650e+00  
  1.267655e+00        2.239108e-02        2.740790e-01        6.419415e-01        6.041259e-02        1.175807e-03        5.743903e+00  
  1.275150e+00        2.204824e-02        2.721740e-01        6.435776e-01        6.100517e-02        1.195038e-03        5.747125e+00  
